,title,homesection,publishdate,pageviews,popularity
9223,Pape strammer op efter terrorflugt: Indsatte skal i kortere snor,112,2018-08-12 09:32:26 UTC,5394,0
8777,Politiet udsteder forbud: Fandt sikkerhedsbrister ved partybusser,112,2018-11-19 14:02:03 UTC,867,0
12483,"Langt fra målet, men: Antallet af trafikdræbte på vej mod rekord",Biler,2018-11-27 14:22:20 UTC,6255,0
20341,Begravede sin kone lørdag: Nu er Bush indlagt på intensiv,Politik,2018-04-24 01:28:11 UTC,31199,1
29538,Fuld af rigdom: Sprut forgylder verdens rigeste filmstjerne,Intl. kendte,2018-08-24 22:49:06 UTC,70802,1
8098,Se videoen: Politiet i konfrontation på Christiania,112,2018-05-31 21:56:36 UTC,32587,1
10125,Bilist forsvundet efter ulykke på motorvej: Politi leder med hunde,112,2018-10-23 20:53:54 UTC,58337,1
6733,Rosenborg-chef om voldssag: Vi sætter os ned med Nicklas tirsdag,Skandinavien,2018-09-10 23:11:25 UTC,8,0
26112,Underskrevet: Kevin scorer flerårig kontrakt med Haas,Formel 1,2018-09-28 09:00:37 UTC,1526,0
13412,Karoline kørte galt: Vågnede med hegnspæl i brystkassen,Krimi,2018-07-21 07:28:52 UTC,30421,1
28549,Jysk rockstjerne: Jeg lavede noget lort,DK MusikNYT,2018-08-26 11:01:02 UTC,28421,1
25658,Kæmpe bet for Ferrari: Straffet før VM-afgørelse,Formel 1,2018-10-19 23:01:01 UTC,67524,1
12856,Her skal du ikke ende på hospitalet,Ferie,2018-07-25 14:02:25 UTC,50511,1
20124,USA-senator John McCain er død,Politik,2018-08-26 03:10:44 UTC,78574,1
6893,Fik skåret lægmusklen over: Nu jagter han dansk VM-guld,Anden sport,2018-08-11 08:59:17 UTC,7449,0
24130,Signe i krig med fly-gigant: - De chikanerer mennesker i sorg,Samfund,2018-07-17 19:17:29 UTC,28734,1
11946,Ulykke på havet: Ældre mand død,112,2018-07-23 20:14:35 UTC,89095,1
3583,TV: Åvangskolen klar til kvartfinalen,Storkøbenhavn,2018-11-28 13:33:01 UTC,453,0
26340,Aktiemarkedets frygtindeks stiger igen efter dage med fald,Investor,2018-10-18 17:08:01 UTC,10,0
29585,Hot Miss Playboy tjener kassen,Intl. kendte,2018-09-14 22:57:43 UTC,368,0
10013,Psykiater dømt: Udnyttede sin klient i årevis for at få sex,112,2018-09-21 13:05:49 UTC,36,0
14970,Derfor indtager Danmark europæisk top i deltidsarbejde,Finans,2018-06-11 14:41:01 UTC,1,0
28044,Elektronikkæde bløder penge: Bremser hårdt op i Danmark,Teknologi,2018-06-18 10:27:59 UTC,159927,1
13844,Rekordlav rente til flekslånere - sparer 900 kr. om måneden,Finans,2018-08-24 12:48:01 UTC,4,0
16553,OVERBLIK: Penge blev vasket hvide hos Danske Bank,Ritzau,2018-05-03 10:05:26 UTC,1,0
7629,Bomberyddere skal undersøge taske ved lufthavn,112,2018-07-24 12:20:57 UTC,2429,0
30599,Ekstrem fattigdom er på tilbagetog - men udviklingen stagnerer,Dansk politik,2018-09-20 12:28:11 UTC,2,0
21157,Sol eller regn: I dag bliver Danmark delt i to,Samfund,2018-04-28 09:59:29 UTC,38617,1
2989,Dansker er med i spillet om 150 millioner kroner,E-Sport,2018-05-16 17:11:34 UTC,15260,1
34468,Nej nej nej! Nu stikker det HELT af i dansk tv-program,"Film, tv & radio",2018-09-24 19:57:38 UTC,461,0
11571,To er anholdt efter omfattende bilbrande i Sverige,112,2018-08-14 16:51:47 UTC,532,0
2942,Da munken gik i engen og sejrede,Sjaellandsyd,2018-09-04 20:00:00 UTC,47,0
3588,Håbløs timing: Højspændt drama i kulisserne i Liverpool,Liverpool,2018-04-30 11:27:51 UTC,57369,1
16593,Trump vil fordoble forsvarsudgifter hos Natos medlemmer,Ritzau,2018-05-17 21:38:47 UTC,1,0
12381,Bilkæmpe tilbagekalder én million biler: Tusindvis i Danmark,Biler,2018-09-05 14:13:25 UTC,150,0
26800,Jægersoldaten: Et job for mandfolk ,Meninger,2018-07-12 08:19:58 UTC,2104,0
15231,Søren Dahl fra Café Hack: Derfor taler jeg kun med kendte,Kendte,2018-09-15 13:24:15 UTC,19,0
6696,Løjt fløj højt,Jyllandsyd,2018-09-06 20:46:46 UTC,10,0
23622,Knastør sommer har mangedoblet antallet af brande,Samfund,2018-08-09 04:21:05 UTC,1184,0
5996,Vaks ved havelågen,Jyllandmidt,2018-10-05 18:13:41 UTC,278,0
1258,Danske helte slår til i fantastisk triumf: Verdensmestre efter vild opvisning,E-Sport,2018-09-23 21:48:03 UTC,217,0
4832,LIVE: 'Det er holdånd. Det ligner et mesterhold',FC Nordsjælland,2018-04-22 19:52:42 UTC,91885,1
8020,Kristoffer myrdede og parterede ung kvinde: Nu har han skiftet køn,112,2018-09-23 19:57:55 UTC,71,0
16513,Regeringen: København skal skyde penge i Formel 1-projekt,Ritzau,2018-06-14 17:53:27 UTC,1,0
28270,Vejle Boldklub præsenterer ny spiller i aften,Tipsbladet,2018-07-10 17:31:00 UTC,1,0
12375,Er din bil på listen? Disse biler kan stjæles nemt og sporløst,Biler,2018-04-09 10:51:47 UTC,150962,1
32926,"Haas-chef hæver stemmen: Folkens, vi er ikke inkompetente ",Sport og Spil,2018-08-06 08:58:31 UTC,16680,1
3121,Kæmpe fiasko for Blume: Ekspert rystet over stjernen,Svømning,2018-08-07 18:29:17 UTC,78950,1
27961,Familie fanget i en flydende feriefælde,Teknologi,2018-07-11 21:42:37 UTC,186746,1
3057,Garanti for saftig kylling,Tips og guides,2018-08-16 12:53:56 UTC,302,0
3055,Tyskland står for skud: Danske tophold går efter guldet,E-Sport,2018-07-02 14:15:26 UTC,8272,0
27945,Apple gør livet dyrt og upraktisk for alle mobilkunder,Teknologi,2018-09-14 21:11:48 UTC,90,0
13705,Tesla overvejer kæmpefabrik i Europa ,Finans,2018-07-31 12:38:01 UTC,33,0
23049,Studerende på universitet fejler i elementær grammatik,Samfund,2018-08-27 21:42:51 UTC,937,0
9225,Irakere får ingen penge fra Danmark efter tilbageholdelser,112,2018-11-30 12:44:35 UTC,213,0
18323,Caroline uddelte æg til hjemmefavorit,Tennis,2018-06-01 16:49:57 UTC,33588,1
9564,Elsebeth kom hjem til korsfæstet rotte: - Hvad bliver det næste?,112,2018-04-17 22:09:28 UTC,91888,1
32180,Nyt billede afslører: Medina kysser på ny fyr,Danske kendte,2018-06-04 20:40:39 UTC,109937,1
4101,Fusk: Dansk popstjerne snyder totalt,Koncert-anm.,2018-04-18 23:51:06 UTC,266029,1
35182,Nye problemer: USA indfører flyveforbud for F-35-fly,Krig & katastrofer,2018-10-12 10:31:00 UTC,22904,1
3131,Historisk: Eminem rasende på Roskilde,Anmeldelser Roskilde,2018-07-05 00:24:16 UTC,298213,1
35053,"Trump med bizar trussel: Støt os, eller det får konsekvenser!",Landsholdsfodbold,2018-04-27 11:21:48 UTC,27588,1
19553,Attentatplaner mod Danmark: Historien går verden rundt,Politik,2018-10-31 04:57:09 UTC,43837,1
1899,Sådan laver du den perfekte salat,Tips og guides,2018-07-31 12:50:08 UTC,1940,0
33349,Bizar udvikling: Eriksens egen klub har appelleret hans mål,Premier League,2018-04-10 06:40:06 UTC,64235,1
27609,Kritik af Knæk Cancers 'klamme' præmier: Miljøsvinske VW og arabiske rejser,nationen,2018-10-26 15:01:03 UTC,170308,1
2946,Olesen stråler i Sverige i jagt på Ryder Cup-udtagelse,Golf,2018-08-17 21:16:17 UTC,428,0
30697,Macron ærer terrorofre - besøger Krudttønden,Dansk politik,2018-08-28 19:33:59 UTC,109,0
8106,Mordgåde kan være opklaret: Hel familie risikerer dødsstraf,112,2018-11-28 12:51:30 UTC,176050,1
33056,Sana stråler i AGF - datteren er efterladt hjemme i Sverige,Sport og Spil,2018-04-29 19:55:16 UTC,1675,0
35226,Dødbringende tsunami: Katastrofe-jordskælv dræber 384,Krig & katastrofer,2018-09-29 05:44:14 UTC,400,0
19143,Skru bissen på,Lederen,2018-10-12 06:00:00 UTC,5837,0
3206,'X Factor'-Martin: Slet ikke til at kende,DK Album-anm.,2018-05-24 18:41:51 UTC,116394,1
5309,Dette virker på potensproblemer,Kys & kærlighed,2018-10-19 23:13:39 UTC,63260,1
31643,Kim Larsen døde midt under sit sidste store projekt,Danske kendte,2018-11-30 08:47:50 UTC,50998,1
33241,Tavshed om helikopterstyrt: Politiet skal bruge mere tid,Premier League,2018-10-28 16:22:28 UTC,33584,1
7936,Seks personer arresteret for at planlægge attentat på Macron,112,2018-11-06 16:48:51 UTC,7154,0
22878,Staten overtager bank,Samfund,2018-09-13 20:31:16 UTC,49,0
7382,Nyt skyderi i København: En person såret,112,2018-09-25 22:49:24 UTC,165,0
31492,Dansk stjernes afsløring: Jeg har frosset sæd ned ,Danske kendte,2018-04-26 05:41:39 UTC,37538,1
13079,Hele Danmarks tennisbabe nyder bikinilivet i ferieparadis,Ferie,2018-11-06 19:49:17 UTC,71942,1
12075,TV: Gudepræstation af skarpretter,Fyn,2018-09-03 20:41:24 UTC,13,0
7153,46-årig mand druknet i havnebassin,112,2018-09-08 09:05:44 UTC,19,0
8976,Nyt masseskyderi i USA: Flere personer skudt på hospital,112,2018-11-20 00:36:59 UTC,1610,0
969,Er dette X Factors mest uventede comeback-forsøg?,Event & Kultur,2018-04-23 09:02:25 UTC,73234,1
7702,Kendt mobilselskab sigtet i hvidvaskning for en halv milliard ,112,2018-11-06 05:42:53 UTC,129210,1
17162,KIF Kolding bryder båndene til København,Ritzau,2018-05-31 12:45:18 UTC,2,0
11628,Spritbilist slynget op i luften og røg 17 meter ind i skov,112,2018-04-08 21:57:26 UTC,80230,1
23167,Eksperter: Derfor må partileder filme folkeskoleelever,Samfund,2018-09-13 08:43:09 UTC,73,0
7894,Yngre mand bidt af giftslange i sit hjem i Göteborg,112,2018-09-02 02:43:35 UTC,2,0
25872,Uventet hjælp til Haas: Rival straffet før løbet,Formel 1,2018-11-10 16:03:08 UTC,75107,1
8903,Politiet efterforsker voldtægt under karneval,112,2018-05-27 06:15:33 UTC,26175,1
24809,Efter kæmpe VM-skuffelse: Nu taler Bendtner for første gang,VM 2018,2018-06-20 17:18:52 UTC,30469,1
30092,Rød opfordring til Frede: Træk dig,Dansk politik,2018-05-13 16:39:38 UTC,62310,1
12503,Ejeren snydt: Tyv gav den som køber og stak af med luksusbil,Biler,2018-10-02 18:17:48 UTC,55380,1
20655,LIVE: Årets første sommerdag? Her bliver det over 25 grader,Samfund,2018-04-19 07:51:30 UTC,13598,1
21680,Politikvinde fyret for at bruge racistiske ord mens hun ventede på en pizza,Samfund,2018-06-29 21:49:01 UTC,85086,1
6917,Går over grænsen: Donald Trump scorer kæmpe VM-selvmål,Jan Jensen,2018-04-28 10:10:41 UTC,50096,1
21527,Puk Damsgård får livslangt tilskud fra Statens Kunstfond,Samfund,2018-04-10 14:51:01 UTC,100719,1
34891,Modstander beklager Danmark: Nu tager de konsekvensen,Landsholdsfodbold,2018-09-05 10:53:55 UTC,13,0
12932,300 blev evakueret efter dødsfald: Nu har rejseselskab gjort foruroligende opdagelse,Ferie,2018-09-05 22:07:39 UTC,234,0
25296,Danmark får regulær VM-udebane: 10.000 mod 645,VM 2018,2018-06-15 19:28:58 UTC,9600,0
22527,Vrede kunder advarer mod tattoo-salon,Samfund,2018-10-04 20:36:52 UTC,161227,1
31889,Kendt musiker forlader DR-program: - Kæden hoppede af for mig,Danske kendte,2018-10-30 06:01:44 UTC,214323,1
15095,SpaceX planlægger futuristisk udvidelse i Florida,Finans,2018-06-09 16:03:00 UTC,2,0
9864,Tiltalt i grov universitets-voldtægt: - Hun ville slå mig ihjel,112,2018-04-05 12:37:31 UTC,11014,0
19781,Truer Kina med straftold for 200 milliarder,Politik,2018-06-19 02:30:23 UTC,27341,1
11554,Stor eftersøgningsaktion ved Vesterhavet,112,2018-07-26 16:36:43 UTC,32040,1
28160,TDC advarer: Din 'kloge' brødrister er en af nettets nye skurke,Teknologi,2018-06-06 09:33:40 UTC,31918,1
30792,Konflikt optrappes: Danmark hjemkalder ambassadør,Dansk politik,2018-10-30 18:43:24 UTC,64853,1
500,Kikset: Sangerinde bør finde nyt job,Koncert-anm.,2018-08-26 14:48:31 UTC,247552,1
23817,Københavner-café knust i retten: Får bøde og må opgive berømt navn,Samfund,2018-10-01 11:17:21 UTC,126341,1
22032,Stilhed før stormen på Bispebjerg Kirkegård,Samfund,2018-04-17 22:09:12 UTC,8319,0
9038,Alvorlig ulykke i Tyskland: 46-årig dansker er død,112,2018-05-15 07:48:18 UTC,68244,1
7330,Opgang evakueret: Gasflaske i kælderrrum skabte panik,112,2018-10-04 19:00:27 UTC,4032,0
23320,Fræk protest mod voldtægtssag: G-streng er ikke samtykke,Samfund,2018-11-23 20:39:22 UTC,48019,1
9076,Bosnisk Srebrenica-leder frikendt for krigsforbrydelser,112,2018-11-30 13:22:33 UTC,182,0
24091,Her vil hemmelig investor bygge højhus,Samfund,2018-09-27 22:53:34 UTC,365,0
6233,Teknik til forskel,Jyllandsyd,2018-10-30 20:00:00 UTC,166,0
11460,LTF'er tiltalt for flere drabsforsøg: Nu har retten talt,112,2018-05-02 14:41:05 UTC,12550,1
34187,SLUT: Sensationer og røde kort i vild CL-runde,Champions League,2018-09-19 18:48:41 UTC,71,0
21790,Beskyttede sin baby i uvejret: Nu viser hun de skræmmende skader,Samfund,2018-10-12 21:24:42 UTC,26436,1
16653,Canadisk popkomet flyver forbi Royal Arena til marts,Ritzau,2018-05-08 18:05:02 UTC,1,0
29978,Mand død efter teltpløks-ulykke ,New Articles,2018-08-13 09:27:47 UTC,90692,1
12200,Volvo i klemme: Trumps importkrig skaber rystelser i Sverige,Biler,2018-11-29 21:17:32 UTC,32868,1
26476,Danskerklub sender mestrene ud,Ishockey,2018-05-08 06:57:46 UTC,1157,0
29040,SLUT: Målshow i Hjørring - fem kasser,Superligaen,2018-11-02 20:00:30 UTC,13208,1
29554,Verdensstjerne i tårer over lille piges sang,Intl. kendte,2018-05-16 17:02:52 UTC,98081,1
920,Kronprinsesse ramt af kronisk sygdom,Intl. kongelige,2018-10-24 21:12:36 UTC,118985,1
6521,Rapper døde af uheldig blanding,INTL. MusikNYT,2018-11-05 20:17:50 UTC,56329,1
34375,Lagde du mærke til det?: Legende i 'Klovn'-comeback,"Film, tv & radio",2018-09-12 09:21:40 UTC,1088,0
32604,Nu er taxachauffør afhørt i Bendtner-sagen: Her er den første reaktion,Intl. fodbold,2018-10-03 12:28:48 UTC,168188,1
31775,Efter politianmeldelse: Kendt blogger lukker biksen,Danske kendte,2018-08-07 17:56:47 UTC,149218,1
20731,'Vampyr-begravelse': Se hvad de fandt i munden på dødt tiårig barn ,Samfund,2018-10-15 22:36:22 UTC,130017,1
6623,Brandvarme Braithwaite scorer igen for Middlesbrough,Championship,2018-08-07 23:21:53 UTC,2108,0
15887,Politiet undersøger mulig skudepisode i Helsingør,Ritzau,2018-06-05 21:37:24 UTC,1,0
32553,Liverpools store skurk forlader klubben,Intl. fodbold,2018-08-24 08:48:48 UTC,43379,1
24660,Amerikansk 'sejr': Nordkorea løslader tre fanger,Samfund,2018-05-09 14:51:01 UTC,8883,0
15783,Medie: Voldtægtsmænd slipper billigere end ønsket,Ritzau,2018-07-09 08:57:57 UTC,1,0
8084,Mand afvist ved supermarkeds toilet: Stjal kaffefiltre og besørgede på p-plads,112,2018-07-10 22:15:44 UTC,18492,1
14108,Ziegler inden nye forhandlinger: Det er en kritisk fase - så vi må værne om tavshedspligten,Finans,2018-04-22 09:42:01 UTC,5,0
31380,DR-værter smed rapper ud: - Du er så uforskammet,Danske kendte,2018-09-24 18:39:55 UTC,995,0
18850,Tidligere dansk toprytter var døden nær: Reddet af motionister,Cykling,2018-04-18 09:13:17 UTC,33111,1
27522,Boede otte måneder i campinghytte: Socialchef på flugt fra skimmelsvamp ,nationen,2018-05-04 18:08:03 UTC,12144,1
26153,SLUT: Forrygende Ferrari-fest - Kevin ofret af Alonso,Formel 1,2018-09-01 14:51:44 UTC,113,0
28384,Medie: Anders Christiansen afviste Brøndby til fordel for Malmö,Tipsbladet,2018-06-21 11:46:00 UTC,1,0
34676,DBU-formand: Ny aftale sikrer DBU flere penge,Landsholdsfodbold,2018-09-29 19:17:52 UTC,670,0
22898,Vintervejr i weekenden: Risiko for hagl og slud,Samfund,2018-10-26 11:26:13 UTC,50737,1
21746,"Par samlede 2,6 mio. ind til hjemløs: Nu er alle tre anklaget for svindel  ",Samfund,2018-11-15 16:59:37 UTC,108816,1
27229,Dorthefrandspernille-hjemmet,ingemann,2018-05-27 20:00:00 UTC,29863,1
6306,Ny kæmpe-rekord: 11 mio. kr. til børnene,Julehjælp,2018-11-29 14:38:40 UTC,102459,1
14847,På YouTube reklamerer hundredvis af virksomheder på ekstremistiske kanaler,Finans,2018-04-21 12:13:01 UTC,11,0
9779,Britisk kvinde død af nervegiften Novichok,112,2018-07-08 23:00:39 UTC,39032,1
25929,Haas-boss fnyser ad Alonso: Det var bullshit!,Formel 1,2018-07-30 06:44:57 UTC,120825,1
16603,Evakuerede beboere kan vende tilbage efter hedebrand,Ritzau,2018-05-26 12:55:18 UTC,6,0
27405,Majbritt er dybt ulykkelig: Skal vælge mellem Petit og Pytten,nationen,2018-06-27 15:42:17 UTC,11857,1
31933,Efter ulykke: Dansktop-musiker blind på det ene øje ,Danske kendte,2018-07-27 11:05:12 UTC,111400,1
12107,Lynmål startede målfest,Fyn,2018-09-07 00:00:58 UTC,8,0
23235,Kommune sjusker med private data om handicappede børn,Samfund,2018-04-18 16:14:38 UTC,3917,0
28848,Lyngby i total nedtur - færdige i Superligaen,Superligaen,2018-05-27 18:01:22 UTC,50287,1
24328,Ny fejl i Sundhedsplatformen kan have ført til fejldoseringer,Samfund,2018-11-21 12:54:57 UTC,863,0
9884,Rocker tiltalt for at skyde 21-årig i brystet: Men det var ikke med vilje,112,2018-07-03 23:43:37 UTC,16379,1
6490,Fire fængslet efter fodboldvold i Parken: 'Sagen kan udvikle sig',Europa League,2018-10-26 15:57:31 UTC,5898,0
25843,Raser over uforståelig straf: - Viser hvor dårligt Formel 1 er,Formel 1,2018-10-09 11:31:50 UTC,58680,1
2590,"Fem små tegn på, der er noget galt i dit forhold",Kys & kærlighed,2018-07-11 19:17:38 UTC,22163,1
22859,Frost på vej i hele landet: Her kan der komme sne,Samfund,2018-10-25 09:16:59 UTC,112128,1
19393,Trump-partner indrømmer: Fuskede for millioner,Politik,2018-08-07 05:13:35 UTC,38586,1
18460,Glad Piotr: Nu skal Caroline gøres klar til mandag,Tennis,2018-06-30 16:35:19 UTC,8619,0
274,Madklumme: Lille indsats – stor effekt ,Tips og guides,2018-11-03 11:49:51 UTC,930,0
25343,Har mistet sig selv: Frankrigs stjerne er i opløsning!,VM 2018,2018-06-30 13:10:41 UTC,54931,1
34358,Deltagelse i fare: 'Vild med dans'-deltager på krykker efter skade,"Film, tv & radio",2018-10-18 17:31:08 UTC,61982,1
3993,Overlegne i storsejr,Sjaellandsyd,2018-09-18 18:33:19 UTC,14,0
26960,Topboksers enke: Lagde sig til at dø med urnen i favnen,Tæt på,2018-07-26 07:16:31 UTC,11207,0
4264,Seks måder din jalousi ødelægger dit forhold,Kys & kærlighed,2018-04-28 22:15:11 UTC,9702,0
18721,Stjernen råbte og skreg efter brutalt styrt: Så kom han på andre tanker,Cykling,2018-09-13 07:18:57 UTC,5,0
32134,Bryggen-pige bryder forlovelsen,Danske kendte,2018-07-26 05:38:40 UTC,191673,1
3947,"Bare bryster mod Trump, Putin og Franco",Foto,2018-11-22 11:07:25 UTC,6590,0
30135,Efter Grünfelds farvel: Her er Elbæks reaktion,Dansk politik,2018-10-18 01:11:30 UTC,50604,1
27677,Aha: Krænket mexicansk studerende stopper Mexico-fest på universitet   ,nationen,2018-09-20 13:27:28 UTC,1150,0
20675,<U+200B>Vinder af seks millioner: - Jeg giver is til kollegaerne,Samfund,2018-07-25 13:35:37 UTC,55570,1
12663,Ryanair forarger: Forsøgte at sælge flybilletter med døddrukken teenager,Ferie,2018-06-13 10:10:26 UTC,21286,1
32866,Tv-guf: Sådan står Kevin i F1's hakkeorden,Sport og Spil,2018-04-17 17:59:25 UTC,8215,0
33932,Passagerflugt sætter sig i DSB's omsætning,Erhvervsnyheder,2018-08-23 11:34:02 UTC,641,0
23018,Træets blodige rejse fra Amazonas til Aarhus,Samfund,2018-05-20 17:06:19 UTC,8855,0
19171,Parkerings-cirkus,Lederen,2018-06-04 06:00:00 UTC,8500,0
